drug_name,gene_name
DRONEDARONE HYDROCHLORIDE,"['HCN4', 'KCNJ2']"
ACETAZOLAMIDE,['GAPDH']
BRINZOLAMIDE,['GAPDH']
AMIODARONE HYDROCHLORIDE,['KCNE2']
CHLORTHALIDONE,['GAPDH']
CYCLOPHOSPHAMIDE ANHYDROUS,['ACTB']
DEFEROXAMINE,['GAPDH']
CELECOXIB,['ATP2A2']
DICHLORPHENAMIDE,['GAPDH']
DORZOLAMIDE,['GAPDH']
EPINEPHRINE,['GAPDH']
ESTRADIOL VALERATE,['GAPDH']
ETHINYL ESTRADIOL,['ACTB']
ETHOXZOLAMIDE,['GAPDH']
HISTAMINE,['GAPDH']
HISTIDINE,['GAPDH']
INSULIN DEGLUDEC,['INS']
INSULIN SUSP ISOPHANE RECOMBINANT HUMAN,['INS']
INSULIN SUSP PROTAMINE ZINC BEEF/PORK,['INS']
INSULIN ZINC SUSP RECOMBINANT HUMAN,['INS']
INULIN,['INS']
IVABRADINE,['HCN4']
IVABRADINE HYDROCHLORIDE,['HCN4']
METHAZOLAMIDE,['GAPDH']
METHOCARBAMOL,['GAPDH']
NORGESTIMATE,['ATP2A2']
SELENIUM,['GAPDH']
SODIUM CHLORIDE,['CKM']
SULPIRIDE,['GAPDH']
TAMOXIFEN,['GAPDH']
TOPIRAMATE,['GAPDH']
ZONISAMIDE,['GAPDH']
